{'emp_no': 10001, 'name': 'Georgi Facello', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 10002, 'name': 'Bezalel Simmel', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 10003, 'name': 'Parto Bamford', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 10010, 'name': 'Duangkaew Piveteau', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10018, 'name': 'Kazuhide Peha', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10029, 'name': 'Otmar Herbst', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10040, 'name': 'Weiyi Meriste', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10050, 'name': 'Yinghua Dredge', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 10060, 'name': 'Breannda Billingsley', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 10070, 'name': 'Reuven Garigliano', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10080, 'name': 'Premal Baek', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 10088, 'name': 'Jungsoon Syrzycki', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 10098, 'name': 'Sreekrishna Servieres', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10108, 'name': 'Lunjin Giveon', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 10116, 'name': 'Dayanand Czap', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10124, 'name': 'Geraldo Marwedel', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10134, 'name': 'Diederik Siprelle', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10144, 'name': 'Marla Brendel', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 10155, 'name': 'Adas Nastansky', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10164, 'name': 'Jagoda Braunmuhl', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10172, 'name': 'Shigeu Matzen', 'dept_no': 'd005', 'manager_no': 110567}
